,City,Country,Latitude,Longitude,Temperature,Max Temperature,Min Temperature,Humidity,Cloudiness,Wind Speed
0,Asău,RO,46.4333,26.4,9.51,9.51,9.51,69,100,4.51
1,Busselton,AU,-33.65,115.3333,16.38,16.38,16.38,69,100,1.0
2,Dwārka,IN,22.2394,68.9678,26.74,26.74,26.74,44,5,4.14
3,Bluff,NZ,-46.6,168.3333,14.41,14.41,14.41,59,100,4.47
4,Tiksi,RU,71.6872,128.8694,-7.8,-7.8,-7.8,93,100,2.47
5,Punta Arenas,CL,-53.15,-70.9167,7.06,7.06,7.06,87,100,3.6
6,Ushuaia,AR,-54.8,-68.3,6.81,6.81,6.81,81,100,5.14
7,Dikson,RU,73.5069,80.5464,-4.08,-4.08,-4.08,90,100,6.05
8,Husavik,IS,66.0449,-17.3389,-1.32,-1.32,-1.32,73,100,5.58
9,Sibolga,ID,1.7427,98.7792,26.19,26.19,26.19,80,100,0.95
10,Vaini,TO,-21.2,-175.2,23.24,23.24,23.24,79,100,11.16
11,Rincon,US,32.296,-81.2354,14.7,16.03,12.75,55,0,0.0
12,Port Alfred,ZA,-33.5906,26.891,17.32,17.32,17.32,84,10,2.24
13,Taoudenni,ML,22.6783,-3.9836,27.84,27.84,27.84,15,20,4.13
14,Liverpool,GB,53.4106,-2.9779,13.57,14.73,12.81,94,20,3.6
15,Sisimiut,GL,66.9395,-53.6735,1.73,1.73,1.73,78,100,4.79
16,Balyqshy,KZ,47.0667,51.8667,5.33,5.33,5.33,61,57,2.18
17,Mataura,NZ,-46.1927,168.8643,20.29,20.29,20.29,36,100,4.56
18,Iquitos,PE,-3.7481,-73.2472,26.02,26.02,26.02,83,75,1.03
19,Leningradskiy,RU,69.3833,178.4167,-2.45,-2.45,-2.45,97,100,3.21
20,Pisco,PE,-13.7,-76.2167,16.03,16.03,15.57,82,0,5.66
21,Coffs Harbour,AU,-30.3,153.1333,18.98,19.52,18.98,88,40,6.17
22,Salalah,OM,17.0151,54.0924,23.99,23.99,23.99,73,0,0.65
23,Albany,US,42.6001,-73.9662,10.35,13.15,6.3,70,83,0.64
